,MaxAbsEStateIndex,MaxEStateIndex,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinAbsPartialCharge,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3v,Kappa1,Kappa2,LabuteASA,PEOE_VSA13,SMR_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA6,VSA_EState2,HeavyAtomCount,NOCount,NumHeteroatoms,MolMR,fr_C_O,fr_C_O_noCOO,fr_amide,label
CCOC(=O)CC1ON(C)C(=O)N1c1ccc([N+](=O)[O-])cc1,12.115183374275638,12.115183374275638,309.278,294.158,309.0960852,118.0,0.3499488333238355,0.3499488333238355,587.9431530258832,16.27565640300939,12.09209543760428,12.09209543760428,10.43475940797611,6.574587731727928,6.574587731727928,4.492756793771051,4.492756793771051,3.0285469932552544,15.704013268026536,6.39283231184707,125.65698298822981,5.687386274683562,24.086836954497993,102.22,23.15163201984246,19.703392636909218,18.71508986212249,6.923737199690624,40.389859206031716,22.0,9.0,9.0,74.85740000000003,2.0,2.0,2.0,0
Cc1nc(C)c(-c2nnc(SCCCN3CCC4(CCc5cc(Cl)ccc54)C3)n2C)s1,6.211729118910965,6.211729118910965,474.0990000000002,445.8750000000002,473.14746557600006,164.0,0.19075316337331386,0.19075316337331386,1107.579625860202,21.58721119088102,18.319434088498003,20.70835619637191,14.949127406757754,10.929814920931246,13.109874534521689,8.822577887932296,11.524280377127775,9.146163309055398,21.43646988654759,8.503313628575963,196.78633720904156,0.0,0.0,46.84,0.0,0.0,0.0,28.66212231902285,8.297891304178806,31.0,5.0,8.0,129.43400000000003,0.0,0.0,0.0,1
COC(=O)c1c(NC(=O)c2nc(SCc3cccc(C)c3)ncc2Cl)sc2c1CCCC2,13.041486905750975,13.041486905750975,488.03400000000033,465.8580000000003,487.079111244,166.0,0.3406697336774098,0.3406697336774098,1179.2884606151458,22.664561460070644,17.735918368209326,20.12484047608323,15.456728795830726,10.21037232737253,12.390431940962971,7.487577414684003,9.942447897806883,7.591780679578261,22.762526197025153,10.019632199233039,199.31672650541918,5.907179729351506,14.325937321943691,81.17999999999999,11.876485017303356,9.589074368143644,10.716561308589787,0.0,35.21541535372459,32.0,6.0,9.0,128.03570000000002,2.0,2.0,1.0,0
Cc1c(Cl)cccc1-n1nnc(-c2nc(-c3ccc4c(c3)OCO4)no2)c1C,6.229763825334134,6.229763825334134,395.8060000000002,381.6940000000002,395.07851698799993,140.0,0.28022356869321924,0.28022356869321924,1200.2548186188003,19.25034789769755,15.009985718224911,15.765914664243367,13.614193540729628,8.534970721293844,8.91293519430307,6.310402030902384,6.717602157642988,5.030694950011776,16.759762972032494,6.34636342556212,164.20235415129633,5.890723922025908,13.996820844573445,88.09,0.0,0.0,12.683666228125736,4.681802935145185,4.467998061364463,28.0,8.0,9.0,100.694,0.0,0.0,0.0,0
O=C1OCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4ncccn4)cc23)CC1,13.616273079446941,13.616273079446941,485.5630000000002,457.33900000000034,485.222703356,184.0,0.40948237839100493,0.40948237839100493,1364.2313238929166,24.48455241637955,20.015586511204635,20.015586511204635,17.652999680989844,12.479589743181378,12.479589743181378,9.452518608213037,9.452518608213037,7.32253856219627,22.669325372958497,9.698460296936359,208.68371284265407,0.0,13.92181518554669,63.49,0.0,9.184952231746642,11.910460911984309,17.29359687407663,24.82777013411561,36.0,7.0,8.0,135.5949999999999,1.0,1.0,1.0,1
Clc1ccc(N2CCN(Cc3cn4cc(Br)ccc4n3)CC2)cc1Cl,6.13585167488891,6.13585167488891,440.17200000000014,423.0360000000002,438.00136400400004,130.0,0.1366041921077385,0.1366041921077385,903.2274986842199,17.388540578131757,13.499733591287635,16.59758802243925,12.080520035918415,8.138531644110714,9.687458859686519,6.206634379371458,7.93671016164436,5.699185270401239,17.159265427270167,7.155234876313399,164.63893251998513,0.0,0.0,23.78,0.0,0.0,0.0,0.0,9.483244199630759,25.0,4.0,7.0,106.84400000000002,0.0,0.0,0.0,1
NC(=O)CSc1cn(Cc2cccc(F)c2)c2ccccc12,13.333877669014754,13.333877669014754,314.385,299.26500000000004,314.08891232,112.0,0.22728475527905032,0.22728475527905032,828.3919314842967,15.526733258565956,11.829390903706267,12.645887484633993,10.631030293135236,6.867113639688985,7.852712199342473,5.023309151859771,6.0404858266768455,4.429088254837631,14.658285876386538,6.234909126855582,131.47417833344363,0.0,9.184952231746642,48.02,0.0,9.184952231746642,17.47725417714419,6.06636706846161,12.002299932994827,22.0,3.0,5.0,87.35840000000003,1.0,1.0,1.0,0
COc1ccccc1C(=O)NCCN1CCC(n2c(O)nc3ccccc32)CC1,12.38781712274962,12.38781712274962,394.47500000000014,368.26700000000017,394.200490692,152.0,0.2945857847411714,0.2945857847411714,992.6409892049444,20.216967702877938,16.54414407275348,16.54414407275348,14.169035095596021,9.966163267375547,9.966163267375547,7.299518987596126,7.299518987596126,5.564628222181802,19.264858189070733,8.528036778117754,169.46658655745063,11.917644568938343,14.637927532712576,79.62,0.0,9.901064578912528,17.9594853980863,19.242531678200752,18.99666711109886,29.0,7.0,7.0,111.43600000000002,1.0,1.0,1.0,0
Fc1ccc(N2CCN(Cc3cnn(-c4ccccc4)c3)CC2)cc1,13.048218055893788,13.048218055893788,336.41400000000016,315.2460000000001,336.175024892,128.0,0.12285930502770083,0.12285930502770083,805.2272599325229,17.062267164498692,14.053205722027686,14.053205722027686,12.275989583278102,8.59668690893486,8.59668690893486,6.368315369372151,6.368315369372151,4.627047360067043,15.843779070310706,7.069085296076049,146.65690715037266,0.0,4.39041504767482,24.3,0.0,4.39041504767482,5.817220841045895,0.0,4.745735596707819,25.0,4.0,5.0,97.45400000000004,0.0,0.0,0.0,1
O=C(O)c1ccc(NN=CC(Br)=Cc2ccccc2)cc1,10.725481194321521,10.725481194321521,345.196,332.09200000000016,344.01603975600005,106.0,0.3351808537400726,0.3351808537400726,664.4361487899018,15.079139501373252,11.031492915558893,12.617489454673597,10.147867045540842,6.196595078336981,6.989593347894332,4.192410848943285,5.108086377734974,3.051177366115567,14.99775093710954,7.40029296875,130.4972868985475,0.0,9.901064578912528,61.69,5.969305287951849,4.794537184071822,5.563451491696996,18.347334716458537,10.725481194321521,21.0,4.0,5.0,88.86200000000001,1.0,0.0,0.0,0
